start,end,event,start_lat,start_lon,end_lat,end_lon,type,pic,video,Position,category,,
10/3/09,,Local Government Elections Workshop,-26.20192,28.05097,,,video,,"<iframe width=""420"" height=""300"" src=""https://www.youtube.com/embed/sm7UUOl7LGk"" frameborder=""0"" allowfullscreen></iframe>",-1300,Red,,I have pictures and maybe some clips
11/13/09,,Orlando East March,-26.243254,27.923966,-26.23735,27.927667,pic,orlando.png,,-1100,Red,I have pictures and some clips,
11/15/09,,Protea South March,-26.284604,27.8435,-,-,pic,protea.png,80,Red,I have pictures and some clips,
11/19/09,,Alex People's Inspection,-26.1057789,28.0644572,,,pic,alex.png,,-1100,Red,I have pictures and maybe some clips,
11/24/09,,SCR March,-26.2515141,27.854085,,,pic,scr.png,,-1100,Red,I have pictures and clips,
11/27/09,,Vaal March,-26.607459,27.840795,,,pic,vaal.png,,-1100,Red,,
11/28/09,,Heroes Day,-26.2575162,27.9332975,,,pic,heroes.png,,-1100,Red,I have pictures and some clips,
12/5/09,,Abahlali Solidarity March,-26.286488,27.847106,-26.275521,27.835991,pic,abahlali.png,,-1000,Red,I have pictures and some clips,
1/21/10,,Nersa Hearings,-26.0023427,28.1310076,,,pic,nersa.png,,-800,Green,,
1/23/10,,Dennis Brutus Memorial,-26.20192,28.05097,,,pic,dennis.png,,-800,Green,,
1/25/10,,Visit to Itereleng,-25.75207,28.196714,-25.7909855,28.0705573,pic,itereleng.png,,-800,Green,,
2/22/10,,Vaal March,-26.6753884,27.9284722,,,pic,vaal2.png,,-700,Green,,
3/21/10,,Sharpeville Memorial,-26.6857113,27.8709334,,,pic,sharpeville.png,,-600,Green,,
3/26/10,,POWA Book Launch,-26.2028558,28.0312015,,,pic,powa.png,,-590,Green,,
5/11/10,,Vaal March to Arcelor Mittal,-26.673235,27.8040497,,,pic,vaal3.png,,-400,Blue,,
6/1/10,,Visit to CDP ,-26.19284,28.06601,,,pic,cdp.png,,-300,Blue,,
6/11/10,,World Cup March,-26.25105,27.95678,-26.249917,27.962842,pic,world.png,,-300,Blue,,
6/16/10,,Youth Day,-26.262313,27.882917,,,pic,youth.png,,-300,Blue,,
6/25/10,,Jozi Regional Housing March,-26.204407,28.037939,,,pic,jozi.png,,-200,Blue,,
7/11/10,,Schubart Park Anti-Xenophobia Event,-25.7453693,28.1823943,,,pic,schubart.png,,-100,Blue,,
8/3/10,,Quagga Evictions,-25.7699538,28.1183756,,,pic,quagga.png,,-100,Orange,,
9/15/10,,Soweto March,-26.2676604,27.8606672,,,pic,soweto.png,,100,Orange,,
10/19/10,,Silent March,-26.19289,28.034651,26.189771,28.043127,pic,silent.png,,200,Orange,,
11/17/10,,SCR Meeting,-26.2416663,27.9475,,,pic,scr2.png,,300,Orange,,
11/29/10,,SECC March,-26.2663774,27.8754511,,,pic,secc.png,"<iframe src=""//player.vimeo.com/video/116574981?autoplay=1&loop=1&byline=0&portrait=0"" width=""587"" height=""330"" frameborder=""0"" webkitallowfullscreen mozallowfullscreen allowfullscreen></iframe>",400,Orange,,
